date,ted
27/11/2012,0.21
28/11/2012,0.21
29/11/2012,0.22
30/11/2012,0.23
3/12/2012,0.21
4/12/2012,0.21
5/12/2012,0.21
6/12/2012,0.21
7/12/2012,0.22
10/12/2012,0.22
11/12/2012,0.23
12/12/2012,0.24
13/12/2012,0.25
14/12/2012,0.27
17/12/2012,0.26
18/12/2012,0.25
19/12/2012,0.26
20/12/2012,0.25
21/12/2012,0.25
24/12/2012,0.25
27/12/2012,0.23
28/12/2012,0.3
31/12/2012,0.26
2/1/2013,0.23
3/1/2013,0.23
4/1/2013,0.24
7/1/2013,0.24
8/1/2013,0.24
9/1/2013,0.25
10/1/2013,0.25
11/1/2013,0.23
14/1/2013,0.22
15/1/2013,0.21
16/1/2013,0.22
17/1/2013,0.23
18/1/2013,0.22
22/1/2013,0.22
23/1/2013,0.22
24/1/2013,0.22
25/1/2013,0.22
28/1/2013,0.23
29/1/2013,0.23
30/1/2013,0.23
31/1/2013,0.23
1/2/2013,0.24
4/2/2013,0.23
5/2/2013,0.23
6/2/2013,0.22
7/2/2013,0.22
8/2/2013,0.22
11/2/2013,0.2
12/2/2013,0.2
13/2/2013,0.19
14/2/2013,0.18
15/2/2013,0.19
19/2/2013,0.17
20/2/2013,0.17
21/2/2013,0.16
22/2/2013,0.16
25/2/2013,0.17
26/2/2013,0.15
27/2/2013,0.18
28/2/2013,0.18
1/3/2013,0.17
4/3/2013,0.17
5/3/2013,0.2
6/3/2013,0.18
7/3/2013,0.18
8/3/2013,0.18
11/3/2013,0.18
12/3/2013,0.18
13/3/2013,0.19
14/3/2013,0.18
15/3/2013,0.19
18/3/2013,0.21
19/3/2013,0.21
20/3/2013,0.21
21/3/2013,0.21
22/3/2013,0.21
25/3/2013,0.2
26/3/2013,0.21
27/3/2013,0.19
28/3/2013,0.21
2/4/2013,0.21
3/4/2013,0.22
4/4/2013,0.21
5/4/2013,0.21
8/4/2013,0.21
9/4/2013,0.22
10/4/2013,0.21
11/4/2013,0.21
12/4/2013,0.22
15/4/2013,0.22
16/4/2013,0.22
17/4/2013,0.22
18/4/2013,0.23
19/4/2013,0.23
22/4/2013,0.23
23/4/2013,0.23
24/4/2013,0.22
25/4/2013,0.23
26/4/2013,0.23
29/4/2013,0.22
30/4/2013,0.22
1/5/2013,0.21
2/5/2013,0.22
3/5/2013,0.23
7/5/2013,0.24
8/5/2013,0.24
9/5/2013,0.24
10/5/2013,0.24
13/5/2013,0.23
14/5/2013,0.22
15/5/2013,0.23
16/5/2013,0.24
17/5/2013,0.23
20/5/2013,0.22
21/5/2013,0.23
22/5/2013,0.23
23/5/2013,0.22
24/5/2013,0.23
28/5/2013,0.22
29/5/2013,0.23
30/5/2013,0.23
31/5/2013,0.24
3/6/2013,0.22
4/6/2013,0.23
5/6/2013,0.22
6/6/2013,0.22
7/6/2013,0.24
10/6/2013,0.22
11/6/2013,0.22
12/6/2013,0.22
13/6/2013,0.22
14/6/2013,0.22
17/6/2013,0.22
18/6/2013,0.22
19/6/2013,0.22
20/6/2013,0.22
21/6/2013,0.22
24/6/2013,0.22
25/6/2013,0.22
26/6/2013,0.22
27/6/2013,0.21
28/6/2013,0.23
1/7/2013,0.23
2/7/2013,0.24
3/7/2013,0.22
5/7/2013,0.23
8/7/2013,0.22
9/7/2013,0.23
10/7/2013,0.23
11/7/2013,0.23
12/7/2013,0.23
15/7/2013,0.23
16/7/2013,0.24
17/7/2013,0.24
18/7/2013,0.24
19/7/2013,0.23
22/7/2013,0.22
23/7/2013,0.25
24/7/2013,0.23
25/7/2013,0.24
26/7/2013,0.24
29/7/2013,0.24
30/7/2013,0.23
31/7/2013,0.23
1/8/2013,0.23
2/8/2013,0.23
5/8/2013,0.22
6/8/2013,0.23
7/8/2013,0.22
8/8/2013,0.21
9/8/2013,0.21
12/8/2013,0.2
13/8/2013,0.2
14/8/2013,0.21
15/8/2013,0.21
16/8/2013,0.21
19/8/2013,0.2
20/8/2013,0.22
21/8/2013,0.22
22/8/2013,0.23
23/8/2013,0.23
27/8/2013,0.21
28/8/2013,0.23
29/8/2013,0.24
30/8/2013,0.23
3/9/2013,0.24
4/9/2013,0.24
5/9/2013,0.24
6/9/2013,0.24
9/9/2013,0.24
10/9/2013,0.24
11/9/2013,0.23
12/9/2013,0.24
13/9/2013,0.24
16/9/2013,0.23
17/9/2013,0.24
18/9/2013,0.24
19/9/2013,0.24
20/9/2013,0.24
23/9/2013,0.23
24/9/2013,0.23
25/9/2013,0.23
26/9/2013,0.25
27/9/2013,0.23
30/9/2013,0.23
1/10/2013,0.23
2/10/2013,0.22
3/10/2013,0.21
4/10/2013,0.21
7/10/2013,0.21
8/10/2013,0.19
9/10/2013,0.2
10/10/2013,0.19
11/10/2013,0.16
15/10/2013,0.1
16/10/2013,0.15
17/10/2013,0.19
18/10/2013,0.2
21/10/2013,0.2
22/10/2013,0.2
23/10/2013,0.2
24/10/2013,0.21
25/10/2013,0.2
28/10/2013,0.2
29/10/2013,0.2
30/10/2013,0.2
31/10/2013,0.2
1/11/2013,0.2
4/11/2013,0.19
5/11/2013,0.19
6/11/2013,0.19
7/11/2013,0.19
8/11/2013,0.18
12/11/2013,0.16
13/11/2013,0.16
14/11/2013,0.16
15/11/2013,0.16
18/11/2013,0.15
19/11/2013,0.16
20/11/2013,0.16
21/11/2013,0.17
22/11/2013,0.17
25/11/2013,0.16
26/11/2013,0.17
27/11/2013,0.17
29/11/2013,0.18
2/12/2013,0.19
3/12/2013,0.18
4/12/2013,0.18
5/12/2013,0.18
6/12/2013,0.18
9/12/2013,0.17
10/12/2013,0.17
11/12/2013,0.17
12/12/2013,0.17
13/12/2013,0.17
16/12/2013,0.17
17/12/2013,0.17
18/12/2013,0.18
19/12/2013,0.19
20/12/2013,0.18
23/12/2013,0.18
24/12/2013,0.18
27/12/2013,0.18
30/12/2013,0.18
31/12/2013,0.18
2/1/2014,0.17
3/1/2014,0.17
6/1/2014,0.19
7/1/2014,0.2
8/1/2014,0.19
9/1/2014,0.2
10/1/2014,0.19
13/1/2014,0.21
14/1/2014,0.2
15/1/2014,0.2
16/1/2014,0.2
17/1/2014,0.19
21/1/2014,0.2
22/1/2014,0.2
23/1/2014,0.2
24/1/2014,0.2
27/1/2014,0.19
28/1/2014,0.19
29/1/2014,0.2
30/1/2014,0.22
31/1/2014,0.22
3/2/2014,0.19
4/2/2014,0.18
5/2/2014,0.17
6/2/2014,0.17
7/2/2014,0.15
10/2/2014,0.16
11/2/2014,0.19
12/2/2014,0.19
13/2/2014,0.21
14/2/2014,0.22
18/2/2014,0.18
19/2/2014,0.17
20/2/2014,0.19
21/2/2014,0.18
24/2/2014,0.18
25/2/2014,0.18
26/2/2014,0.18
27/2/2014,0.2
28/2/2014,0.19
3/3/2014,0.19
4/3/2014,0.19
5/3/2014,0.17
6/3/2014,0.19
7/3/2014,0.18
10/3/2014,0.18
11/3/2014,0.18
12/3/2014,0.18
13/3/2014,0.18
14/3/2014,0.18
17/3/2014,0.17
18/3/2014,0.18
19/3/2014,0.17
20/3/2014,0.17
21/3/2014,0.17
24/3/2014,0.18
25/3/2014,0.18
26/3/2014,0.18
27/3/2014,0.19
28/3/2014,0.19
31/3/2014,0.18
1/4/2014,0.19
2/4/2014,0.21
3/4/2014,0.21
4/4/2014,0.2
7/4/2014,0.2
8/4/2014,0.2
9/4/2014,0.19
10/4/2014,0.19
11/4/2014,0.19
14/4/2014,0.19
15/4/2014,0.19
16/4/2014,0.19
17/4/2014,0.2
22/4/2014,0.2
23/4/2014,0.21
24/4/2014,0.22
25/4/2014,0.2
28/4/2014,0.19
29/4/2014,0.21
30/4/2014,0.19
1/5/2014,0.19
2/5/2014,0.2
6/5/2014,0.19
7/5/2014,0.19
8/5/2014,0.19
9/5/2014,0.19
12/5/2014,0.2
13/5/2014,0.19
14/5/2014,0.2
15/5/2014,0.2
16/5/2014,0.2
19/5/2014,0.2
20/5/2014,0.2
21/5/2014,0.19
22/5/2014,0.2
23/5/2014,0.19
27/5/2014,0.19
28/5/2014,0.19
29/5/2014,0.19
30/5/2014,0.19
2/6/2014,0.19
3/6/2014,0.19
4/6/2014,0.19
5/6/2014,0.19
6/6/2014,0.19
9/6/2014,0.19
10/6/2014,0.19
11/6/2014,0.19
12/6/2014,0.19
13/6/2014,0.19
16/6/2014,0.19
17/6/2014,0.19
18/6/2014,0.2
19/6/2014,0.21
20/6/2014,0.21
23/6/2014,0.2
24/6/2014,0.2
25/6/2014,0.2
26/6/2014,0.19
27/6/2014,0.2
30/6/2014,0.19
1/7/2014,0.21
2/7/2014,0.21
3/7/2014,0.22
7/7/2014,0.19
8/7/2014,0.2
9/7/2014,0.2
10/7/2014,0.21
11/7/2014,0.21
14/7/2014,0.2
15/7/2014,0.21
16/7/2014,0.21
17/7/2014,0.21
18/7/2014,0.21
21/7/2014,0.2
22/7/2014,0.2
23/7/2014,0.2
24/7/2014,0.21
25/7/2014,0.2
28/7/2014,0.2
29/7/2014,0.22
30/7/2014,0.2
31/7/2014,0.21
1/8/2014,0.21
4/8/2014,0.2
5/8/2014,0.21
6/8/2014,0.2
7/8/2014,0.2
8/8/2014,0.21
11/8/2014,0.19
12/8/2014,0.2
13/8/2014,0.19
14/8/2014,0.19
15/8/2014,0.2
18/8/2014,0.2
19/8/2014,0.2
20/8/2014,0.19
21/8/2014,0.21
22/8/2014,0.21
26/8/2014,0.21
27/8/2014,0.19
28/8/2014,0.2
29/8/2014,0.2
2/9/2014,0.2
3/9/2014,0.2
4/9/2014,0.2
5/9/2014,0.2
8/9/2014,0.21
9/9/2014,0.21
10/9/2014,0.21
11/9/2014,0.21
12/9/2014,0.21
15/9/2014,0.21
16/9/2014,0.21
17/9/2014,0.21
18/9/2014,0.21
19/9/2014,0.21
22/9/2014,0.23
23/9/2014,0.22
24/9/2014,0.22
25/9/2014,0.22
26/9/2014,0.22
29/9/2014,0.22
30/9/2014,0.22
1/10/2014,0.21
2/10/2014,0.22
3/10/2014,0.22
6/10/2014,0.21
7/10/2014,0.21
8/10/2014,0.22
9/10/2014,0.22
10/10/2014,0.22
