,Symbol,Company Name,Industry,Market Cap
201,AKO.B,embotelladora-andina,Beverages - Non-Alcoholic,2241798020
202,AKR,acadia-realty-trust,REIT - Retail,1712223750
203,AKRO,akero-rapeutics,Biotechnology,1159320938
204,AKTS,akoustis-technologies,Communication Equipment,46086857
205,AKTX,"akari-rapeutics,",Biotechnology,12602288
206,AKYA,akoya-biosciences,Medical Instruments & Supplies,280225102
207,AL,air-lease,Rental & Leasing Services,4774161000
208,ALAR,alarum-technologies,Software - Infrastructure,71764233
209,ALB,albemarle,Specialty Chemicals,13407580250
210,ALBT,avalon-globocare,Real Estate Services,4546093
211,ALC,alcon,Medical Instruments & Supplies,36875164000
212,ALCC,altc-acquisition,Shell Companies,458158528
213,ALCE,alternus-energy-group,Utilities - Renewable,70500000
214,ALCO,alico,Farm Products,215687386
215,ALCY,alchemy-investments-acquisition-corp-1,Shell Companies,157938775
216,ALDX,aldeyra-rapeutics,Biotechnology,187054278
217,ALE,allete,Utilities - Diversified,3395764792
218,ALEC,alector,Biotechnology,553884420
219,ALEX,alexander-&-baldwin,REIT - Diversified,1243272182
220,ALG,alamo-group,Farm & Heavy Construction Machinery,2615569450
221,ALGM,allegro-microsystems,Semiconductors,5516304840
222,ALGN,align-technology,Medical Devices,20977754490
223,ALGS,aligos-rapeutics,Biotechnology,56296256
224,ALGT,allegiant-travel-,Airlines,1455718932
225,ALHC,alignment-healthcare,Healthcare Plans,1225368000
226,ALIM,alimera-sciences,Drug Manufacturers - Specialty & Generic,203901352
227,ALIT,alight,Software - Application,5015049622
228,ALK,alaska-air-group,Airlines,4626554890
229,ALKS,alkermes,Biotechnology,4462397940
230,ALKT,alkami-technology,Software - Application,2343993044
231,ALL,allstate,Insurance - Property & Casualty,41181683190
232,ALLE,allegion,Security & Protection Services,11204331388
233,ALLG,allego,Auto Parts,299239360
234,ALLK,allakos,Biotechnology,113719190
235,ALLO,allogene-rapeutics,Biotechnology,681521850
236,ALLR,allarity-rapeutics,Biotechnology,2664427
237,ALLT,allot,Software - Infrastructure,71921280
238,ALLY,ally-financial,Credit Services,10979332000
239,ALNT,allient,Electronic Components,464291632
240,ALNY,alnylam-pharmaceuticals,Biotechnology,21717818580
241,ALOT,astronova,Computer Hardware,133790400
242,ALPN,alpine-immune-sciences,Biotechnology,1606064304
243,ALPP,alpine-4-holdings,Metal Fabrication,15400264
244,ALRM,alarm-holdings,Software - Application,3116739330
245,ALRN,aileron-rapeutics,Biotechnology,23010752
246,ALRS,alerus-financial,Banks - Regional,444214591
247,ALSA,alpha-star-acquisition,Shell Companies,137775289
248,ALSN,allison-transmission-holdings,Auto Parts,5505098744
249,ALT,altimmune,Biotechnology,500753348
250,ALTG,alta-equipment-group,Rental & Leasing Services,354430695
251,ALTI,alti-global,Asset Management,683779406
252,ALTM,arcadium-lithium,Specialty Chemicals,5034700000
253,ALTO,alto-ingredients,Specialty Chemicals,137050380
254,ALTR,altair-engineering,Software - Infrastructure,7137247396
255,ALTU,altitude-acquisition,Shell Companies,86873465
256,ALUR,allurion-technologies,Medical Devices,139462134
257,ALV,autoliv,Auto Parts,9160094257
258,ALVO,alvotech,Drug Manufacturers - Specialty & Generic,4195809300
259,ALVR,allovir,Biotechnology,79216754
260,ALX,alexander's,REIT - Retail,1118496510
261,ALXO,alx-oncology-holdings,Biotechnology,732336360
262,ALYA,alithya-group,Information Technology Services,120506098
263,ALZN,alzamend-neuro,Biotechnology,6230613
264,AM,antero-midstream,Oil & Gas Midstream,5871687120
265,AMAL,amalgamated-financial,Banks - Regional,778987968
266,AMAM,ambrx-biopharma,Biotechnology,1758806868
267,AMAT,applied-materials,Semiconductor Equipment & Materials,139936187160
268,AMBA,ambarella,Semiconductor Equipment & Materials,2092498719
269,AMBC,ambac-financial-group,Insurance - Specialty,731247010
270,AMBI,ambipar-emergency-response,Waste Management,379694466
271,AMBO,ambow-education-holding,Education & Training Services,4001700
272,AMBP,ardagh-metal-packaging,Packaging & Containers,2258886420
273,AMC,amc-entertainment-holdings,Entertainment,1055259566
274,AMCR,amcor,Packaging & Containers,13571742600
275,AMCX,amc-networks,Entertainment,788389465
276,AMD,amd,Semiconductors,287009730000
277,AME,ametek,Specialty Industrial Machinery,38644984560
278,AMED,amedisys,Medical Care Facilities,3089394511
279,AMEH,apollo-medical-holdings,Medical Care Facilities,1607166308
280,AMG,affiliated-managers-group,Asset Management,5059795076
281,AMGN,amgen,Drug Manufacturers - General,172964177820
282,AMH,american-homes-4-rent,REIT - Residential,12801531820
283,AMIX,autonomix-medical,,125439732
284,AMK,assetmark-financial-holdings,Asset Management,2308911286
285,AMKR,amkor-technology,Semiconductors,7854745280
286,AMLI,american-lithium,Other Industrial Metals & Mining,183101568
